Nederlands
maillot
mandarijn
markt
marmot
masker
mayonaise
meehelpen
meezingen
meel
meester
meloen
mengen
merel
meten
metro
metselen
miauwen
midden
middenin
mier
mijter
misselijk
morsen
mouw
mug
mus
naald
naar
nadat
neef
nergens
net
nicht
niezen
normaal
om beurten
omkiepen
omlaag
omver
omwaaien
onderaan
ondersteboven
ondiep
ongezellig
onrustig
onvoorzichtig
oorbel
op bezoek komen
op een rij
op je beurt wachten
op reis gaan
opbergen
opendoen
oplossen
oppassen
oprapen
optillen
oranje
os
overkant
oversteken
paar
paardebloem
papegaai
paraplu
parkeerplaats
parkeren
pas op!
pasgeboren
pech hebben
pepernoot
pesten
pestkop
piano
Piet
pijl
pink
pistool
pizza
plaatje
plakband
plakboek
plakkertje
plakplaatje
plaksel
plakspullen
plastic
politieagent
politiebureau
politiepet
politiewagen
poppenhuis
poppenwagen
prins
prinses
proeven
punt
puntenslijper
raadsel
raden
ramen lappen
rechtdoor
rechtop
rechts
regenjas
reis
reizen
rek
reusachtig
ridder
rijbewijs
rijp
ritssluiting
rook
roos
rotten
ruw
sandaal
schaats
schaatsen
schap
supermarkt
schat
scheetje
windje
schil
schildpad
schip
schoorsteen
schort
schouder
schuim
schuiven
schuur
scooter
shampoo
sinas
Sint
Sinterklaas
sinterklaasfeest
sinterklaasliedje
slaapkamer
slager
slipper
slof
sloffen
slordig
slot
sluipen
sluiting
smelten
snavel
sneeuwpop
snuit
sop
spaghetti
spannend
speeltuin
spelletje
spetteren
spijkerbroek
spinazie
spons
spook
springtouw
sproeien
spuiten
staart
staf
stal
stampen
stapelen
station
steel
stempel
stilstaan
stilzitten
stip
stoeprand
stoer
stof
stoffer en blik
stompen
stoomboot
stopcontact
stoplicht
strand
stromen
strooien
sturen
zenden
supermarkt
tafel dekken
tafelkleed
taxi
te kort
te veel
telefoonboek
telefoonnummer
tot straks
tot ziens
touwtje springen
toveren
tractor
troep
troon
troosten
tussendoortje
tweede
uitblazen
uitdelen
uitkiezen
uitkleden
zich
uitpakken
uitspoelen
uitstappen
vastmaken
veranderen
verjaardagsfeest
verkeer
verkeersbord
verkleden
zich
verkleedkleren
verkleuren
verrassing
versieren
versiering
versje
vervelend
verwarming
veulen
vierde
vierkant
vijf december
visite
vissen
vla
vlak
vlam
vlecht
vliegveld
vloer
vloerkleed
vogelnestje
voor je beurt
praten
gaan
vooruit
vorm
vriezen
vrolijk
vullen
waarschuwen
waggelen
washand
wasmiddel
water geven
weggooien
wekker
wenkbrauw
wijd
wimper
winterjas
wond
wondje
woonkamer
woonwagen
zaadje
zandvorm
zebrapad
zeef
zeem
zelfstandig
ziekenwagen
zilver
zin hebben in
zinken
zolder
aaien
aan
aan de beurt
aan de hand
aandoen
aankijken
aankleden
aankomen
aanraken
aantrekken
aanwijzen
aap
aardappel
acht
achter
na
achteruit
af
klaar
af
plaats
afgelopen
afmaken
afspreken
al
alle
allebei
alleen
allemaal
alles
als
indien
als
zoals
alsjeblieft
alstublieft
altijd
ander
andere
anders
verschillend
andersom
appel
arm
auto
au
avond
baard
baby
bad
bak
bal
ballon
banaan
bang
bank
bed
bedenken
bedoelen
been
beer
beest
beetje
beginnen
begrijpen
bek
beker
bel
bellen
beneden
berg
bewaren
bewegen
bezig
bij
bijna
bijten
bijvoorbeeld
bil
billen
binnen
blaad
blaadje
boom
papier
blaffen
blauw
blazen
blij
blijven
bloed
bloem
blok
bloot
boek
boef
boer
boerderij
bol
rond
boodschappen
boom
boos
boot
bord
eten
bordje
school
keuze
bos
bomen
boter
boterham
botsen
bouwen
bouwhoek
boven
bovenop
brand
breken
brengen
brief
bril
broek
broer
brood
broodje
bruin
buik
buikpijn
buiten
bus
vervoer
cadeau
cadeautje
cent
chips
chocola
chocolade
chocomel
chocomelk
chocolademelk
clown
computer
circus
cirkel
daar
daarna
daarom
dadelijk
dag
etmaal
groet
dak
dan
tijd
daarna
dank je wel
dank je
dansen
das
sjaal
dat
dit
dat
deken
deksel
denken
deur
deze
dezelfde
dicht
dichtbij
die
diep
dier
dierentuin
dik
ding
doei
doeg
doek
doekje
doen
dokter
donker
donkerder
donkerst
dood
door
doorgaan
doorheen
doorspoelen
doos
dop
dorst
douche
draad
draadje
draaien
dragen
drie
driehoek
drinken
drogen
dromen
droog
drop
dropje
druk
rustig
drukken
duidelijk
duim
dun
duren
durven
dus
duur
duwen
echt
heus
één
eend
eens
eerste
eerst
ei
eigen
eigenlijk
eindelijk
elastiek
elk
elkaar
emmer
en
eng
er
er uitzien
eraan
erbij
erg
heel
ergens
erin
erop
eruit
ervan
eten
even
even groot
even klein
even veel
feest
fiets
fietsen
fijn
film
fles
fluisteren
fluit
fluiten
foto
fout
friet
frietjes
gaan
gang
garage
gat
gauw
gebeuren
gebruiken
geel
geen
geit
gek
geld
geloven
aannemen
geluid
gelukkig
gemakkelijk
makkelijk
genoeg
gevaarlijk
geven
gewoon
gezellig
gezicht
hoofd
gieter
giraf
gisteren
glas
drinkglas
glijbaan
glijden
goed
beter
best
goedkoop
goed zo
gooien
gordijn
goud
graag
liever
liefst
grap
gras
grijs
groeien
groen
groep
grond
bodem
groot
haakje
haan
haar
haren
hai
hoi
halen
half
hallo
hand
handdoek
hangen
hap
hapje
happen
hard
voelen
roepen
slaan
snel
hebben
helpen
bijstaan
heel
volledig
heen
heen en weer
heerlijk
heet
hek
heleboel
helemaal
helpen
hem
hemd
hen
herfst
hert
het klopt
het regent
het sneeuwt
het waait
heten
hetzelfde
hier
hij
ie
hijskraan
hoe
hoed
hoek
hoera
hoesten
hoeveel
hoeven
hok
hol
hollen
hond
hoofd
hoog
hoor
horen
luisteren
horen bij
houden
houden van
hout
huilen
huis
hun
hut
idee
ieder
iedereen
iemand
iets
ding
een beetje
ijs
winter
ijsje
ik
in
is
ja
jaar
jammer
jarig
jas
jawel
jij
je
je
jouw
jong
jongen
jou
juf
frouw
jullie
jurk
kaars
kaarsje
kaart
kaartje
kaas
kabouter
kachel
kam
kamer
kammen
kant
rand
richting
kapot
kapotmaken
kapper
kapstok
kar
kast
kat
kauwgom
keel
keer
kennen
ketting
keuken
keurig
kiepen
kietelen
kiezen
kijken
kikker
kind
kip
kist
klaar
klap
klappen
klas
kleed
klei
kleien
klein
kleren
kleur
kleuren
klimmen
klinken
klok
kloppen
aankloppen
knap
knie
knijpen
knikken
knikker
knippen
knoeien
knoop
jas
veter
knop
knopje
koe
koek
koekje
koelkast
koffie
koken
komen
konijn
koning
koningin
kop
kopje
kopen
kort
koud
kraal
kraan
krant
krassen
kriebelen
krijgen
krijtje
kring
krokodil
kruipen
kuiken
kunnen
kus
kusje
kussen
kwast
kwijt
laars
laarzen
laat
laatst
lachen
lam
lammetje
lamp
lampje
land
lang
langs
langzaam
laten
later
lawaai
leeg
leeuw
leggen
neerleggen
lego
lekker
lekkers
lepel
letter
lente
leren
leuk
lezen
licht
lichtje
liedje
lief
liggen
lijken op
lijm
lijn
likken
limonade
lip
lolly
lopen
los
loslaten
lucht
luier
luisteren
lukken
het lukt
lusten
maan
maar
maken
mama
ma
mam
man
mand
meedoen
meegaan
meisje
melk
meneer
mens
merken
mes
met
meteen
mevrouw
middag
mij
mijn
mis
misschien
moe
moeder
moeilijk
moeten
mogen
mol
mond
monster
mooi
morgen
ochtend
morgen
motor
muis
muts
muur
muziek
na
naam
naar
richting
naartoe
naast
nacht
nadenken
nagel
nat
natuurlijk
nee
neerleggen
neerzetten
nek
nemen
nest
netjes
neus
niemand
niet
niets
niks
nieuw
nodig hebben
nodig zijn
noemen
nog
nog steeds
nooit
noot
nootje
nou
nu
nummer
of
ok
okee
olifant
om te
om de beurt
oma
omdat
omdraaien
omgooien
omhoog
omvallen
onder
beneden
onderbroek
onderin
ons
oog
ook
oom
oor
op
op en neer
opa
opbellen
opdrinken
opeens
open
openmaken
opeten
ophangen
ophouden
opletten
opruimen
opsteken
opzetten
opzij
op z’n kop
oud
jong
over
overal
overgeven
spugen
overheen
paar
enige
paard
paars
paddestoel
pakje
pak
doos
pakket
pakken
nemen
pan
pang
pannenkoek
pap
papa
pa
pap
papier
passen
maat
patat
peer
pen
pet
piepen
pijn
pijp
buis
pil
pinda
pindakaas
plaat
plaatje
plaats
plek
plagen
plakken
plant
plas
plassen
plat
pleister
plek
plons
plotseling
poep
poepen
poes
poetsen
politie
poort
poot
dier
pop
poppenhoek
huishoek
poppenkast
portemonnee
pot
potje
potlood
prachtig
praten
precies
exact
prik
prikken
prima
proberen
prullenbak
punt
potlood
puzzel
puzzelen
pyjama
raam
raar
radio
rand
regen
rennen
reus
riem
rietje
rij
rijden
rijst
ring
rits
roepen
geluid
roeren
rok
rollen
rommel
rond
vorm
ronddraaien
rood
roze
rug
ruiken
rustig
ruzie
samen
sap
schaap
schaar
schelp
schep
scheppen
scherp
scheuren
schieten
schijnen
de zon schijnt
schoen
schommel
school
schoon
schoonmaken
schoot
schoppen
schotel
schoteltje
schreeuwen
schrijven
schrikken
schudden
sinaasappel
sla
slaan
slap
slak
slang
slapen
slecht
slee
sleutel
slim
slinger
slok
slokje
snappen
sneeuw
snel
snijden
snoep
snoepje
snor
soep
sok
soms
soort
speelgoed
speen
spel
spelen
spelen
spiegel
spin
springen
spugen
spullen
staan
bevinden
staan
start
stap
stappen
steeds
steen
steken
stekker
stempelen
step
ster
sterk
sticker
stift
stil
stoel
stoep
stok
stom
dom
stop
stoppen
stilstaan
stoten
stout
straat
strak
straks
streep
strik
stuk
kapot
stukje
stuur
suiker
T-shirt
taart
tafel
tak
tand
tandenborstel
tandpasta
tante
tas
te groot
te klein
te hoog
teen
tegelijk
tegen
tekenen
tekening
telefoon
televisie
tv
tellen
tent
terug
terugbrengen
teruggeven
terwijl
thee
thuis
tien
tijd
tijger
tik
klap
toch
toen
toeter
tomaat
tong
toren
tot
touw
touwtje
traan
tram
trap
ladder
trein
trekken
trommel
muziek
trui
tuin
tussen
twee
u
uil
uit
afkomstig
uitdoen
kleren
uittrekken
uur
vaak
vaas
vader
vakantie
vallen
van
bezit
vandaag
vangen
varen
varken
vast
zeker
vasthouden
vechten
veel
meer
meest
vegen
ver
verder
verst
ver weg
verdrietig
verdwijnen
verf
vergeten
verhaal
verjaardag
verkeerd
verkouden
verstaan
verstoppen
vertellen
verven
veter
vier
vieren
vies
vuil
vijf
vinden
mening
terug
vinger
vis
vlag
vlees
vlieg
vliegen
vliegtuig
vlinder
vlug
voelen
voet
voetbal
voetballen
vogel
vogeltje
vol
volgend
volgens
voor
voordat
voorlezen
voorzichtig
vorig
vork
vos
vouwen
vrachtauto
vragen
vriend
vriendje
vrouw
vuur
waar
echt
waarheen
waar naartoe
waarom
wachten
wagen
wagentje
wakker
wang
wanneer
want
handschoen
warm
wassen
wat
water
wc
wc-papier
we
wij
week
weer
weg
wegleggen
wei
weinig
minder
minst
wel
welk
welterusten
wereld
werk
werkje
werken
weten
wie
wieg
wiel
wijzen
willen
wind
winkel
winter
wip
wit
wolf
wolk
wonen
woord
worden
worst
wortel
yoghurt
zacht
zak
zakdoek
zand
zandbak
ze
zij
zebra
zee
zeep
zeer
zeg
zeggen
zeker
zelf
zes
zetten
zeven
zich
ziek
ziekenhuis
zien
zijn
zingen
zitten
zo
zoals
zoeken
zoet
zomaar
zomer
zon
zonder
zorgen
zout
zoveel
zuchten
zullen
zus
zusje
zuur
zwaaien
zwart
zwemmen
aankomen
aanlopen
aanrecht
aantal
aanvliegen
rennen
aanvoelen
aanzetten
aarde
aardbol
aardig
achteraan
achterbank
achterkant
achterpoot
achttien
adem
ademen
ademhalen
adres
af en toe
afbreken
afhalen
afknippen
aflopen
einde
afpakken
afscheid
afstand
afstandsbediening
afzakken
broek
agent
politie
alfabet
allang
allerlei
alsof
alvast
alweer
ambulance
angst
ansichtkaart
antwoord
antwoorden
apart
afzonderlijk
apparaat
applaus
april
arm
augustus
autorijden
autoweg
avonds
avontuur
baas
baas spelen
badhanddoek
balkon
band
stof
batterij
bedanken
bedekken
bedoeling
bedroefd
beek
beet
vast
begin
begraven
behalve
beide
beiden
belangrijk
beleefd
beleven
beloven
bemoeien
benieuwd
benzine
bereiken
beroemd
beschermen
besluiten
bestaan
bestuurder
betekenen
beven
bevriezen
beweging
bewolkt
bewonderen
bezem
bezoek
bezorgd
bibberen
bijzetten
bijzonder
binnenkant
binnenkomen
bladzijde
bleek zien
bliksem
blind
bloempot
blokkendoos
blussen
bocht
boel
veel
boffen
bol
bonzen
boodschappen doen
boor
boren
bot
bovenaan
bovendien
bovenkant
brandweer
brandweerauto
brandweerman
bravo
breed
brok
brutaal
buigen
buiging
buitenkant
buitenlands
bulderen
buurt
camping
carnaval
cement
chauffeur
cijfer
controleren
cowboy
cowboyhoed
crossfiets
daaraan
daarin
daarmee
daarnet
dagje uit
dame
dansje
dapper
de slappe lach
december
deftig
degene
dertien
deurbel
deurmat
dinsdag
diploma
direct
divali
dochter
doelpunt
doktersjas
dol op
domoor
donder
donderdag
donkerblauw
donkergroen
doodgaan
doodmoe
doodstil
doof
door elkaar
doorgeven
doorlopen
doormidden
doortrekken
doorwerken
dor
dorp
dragen
droevig
droom
duiken
duizelig
duizend
duw
dwars
richting
echo
echt
een feest geven
eens
akkoord
eenzaam
eerder
eerlijk
eetwaar
eigenwijs
eiland
eind
einde
elektrisch
elf
getal
enig
alleen
enkel
een paar
enorm
er vandoor gaan
erachter
eraf
eraf halen
erbij
erbij doen
erf
ermee
ernaar
ernstig
serieus
eruit zien als
etage
euro
even donker
even licht
extra
familie
fantastisch
geweldig
februari
feest vieren
feestdag
feestjurk
feliciteren
fladderen
flink
dapper
fototoestel
franje
gaan over
gaas
galopperen
gapen
gedag
gedragen
geduld
geduldig
geheim
geheimzinnig
gehoorzaam
geleden
gelijk
meteen
gelijk hebben
geloven
geluid
geluk
gemeen
genieten
plezier
genoeg hebben van
gesp
getal
getallenlijn
getrouwd
geven
feest
geweldig
gezicht
aanblik
gieren
gil
gillen
gisteravond
glanzen
glibberig
glimlachen
glippen
gluren
goeienacht
graan
gracht
graf
grappig
graven
griezelig
grijnzen
grijpen
grommen
grondwater
gulzig
gymschoenen
gymzaal
haai
haard
haast
bijna
tijdgebrek
hak
hal
halen
roepen
halte
hamer
hamster
handig
handschoen
hangen
houding
hapje
gerecht
hardlopen
hardop
hart
hartelijk
hartstikke
haven
hebberig
heer
helft
helikopter
helpen
baten
hemel
herkennen
het geeft niet
het hagelt
het hebben over
het kan me niet schelen
heus
hierachter
hiermee
hieronder
hijgen
hik
hitte
hoewel
honderd
hongerig
hoofdschuddend
hoop
berg
hopen
horizon
horloge
huid
iemand anders
iets anders
ijscoman
ijskoud
in brand staan
in de gaten houden
in de war
in een rij staan
in elk geval
in groepjes
in het midden
in het rond
in orde
in slaap vallen
in zijn eentje
inderdaad
indiaan
ingang
inhalen
inkleuren
inpakken
cadeau
insect
insmeren
instoppen
instorten
gebouw
intussen
ja knikken
jagen
jager
jam
jammeren
janken
januari
jazeker
jeuken
jezelf
jong
juichen
juist
goed
juli
juni
kaart
kabaal
kakelen
kalm
kameel
kan
karton
katoen
keihard
kerk
kermis
kerstkaart
kier
kies
tand
kiespijn
kilometer
klaar zetten
klaarmaken
klagen
klank
klant
klappen
applaudisseren
fietsband
kleding
klep
deksel
kletteren
kleurboek
kleurkrijt
kleurpotlood
kleven
klodder
klokhuis
knabbelen
knagen
knap
knorren
knuffelbeest
knuffelen
knutselen
koets
koffer
kogel
koken
water
kokosnoot
koprol
koptelefoon
korst
kosten
kous
kraag
kraai
kraaien
krabbelen
krabben
kraken
krijsen
krokus
krom
kruis
kruiwagen
krul
kubus
kuil
kussen
kust
kwaad
kwart
kwebbelen
laag
laatst
onlangs
lach
ladder
lade
land
zee
languit
lap
last
hinder
lastig
leggen
ei
lek
lelijk
lenen
leren
les
letten op
leunen
leven
lievelingsdier
lieverd
lift
liggen aan
linker
lippenstift
locomotief
loeien
logeren
lol
lopen
vloeistof
lucht
zuurstof
lucifer
lui
luid
luisteren
gehoorzamen
maaltijd
maand
maandag
maart
machinist
mager
maken
repareren
mal
manier
map
mat
matras
mazelen
meeloper
meemaken
meer
meespelen
meevallen
mei
meid
memory
meten
lengte
meter
microfoon
middags
minuut
mist
modder
moederdag
moeite
mogelijk
moment
mompelen
mooi
mopperen
morgens
mos
motor
machine
muziek maken
muziekinstrument
na
achter
na-apen
naartoe gaan
nadoen
narcis
nazeggen
nee schudden
negen
negentien
Nieuwjaar
nieuws
journaal
nieuwsgierig
nijdig
nog
opnieuw
nogal
Noordpool
november
ober
oceaan
ochtend
oefenen
oerwoud
ogenblik
oktober
om
tijdstip
omgaan met elkaar
omkeren
omslaan
bladzijde
onder
tijdens
onderdoor
ondergaande zon
onderkant
ondersteboven
ondertussen
onderweg
ongeluk
ongelukkig
ongeveer
onmiddellijk
onrustig
ontbijt
ontdekken
ontmoeten
ontsnappen
ontzettend
onvriendelijk
onweer
onzin
ooit
oorpijn
op
op moment
op het nippertje
op pad
op reis
op reis gaan
op tijd
op weg
op zijn gemak
op zijn kop krijgen
op zoek
openen
opeten
ophalen
afhalen
opnieuw
oppakken
optillen
oppassen
toezicht
opplakken
opschieten
opschrijven
opstaan
opstapelen
opsteken
gedicht
opzoeken
oud & nieuw
oud
ouder
over
overblijven
overdag
overeind
overslaan
oversteken
paardrijden
paasei
pad
pak
pakken
pal
paniek
park
pas
stad
plafond
plank
plas
plastic
plein
plezier
plof
ploffen
plukken
pony
poos
poosje
poot
post
postbode
precies
secuur
pret
pretpark
probleem
prop
pruim
prullenmand
publiek
rails
raken
rat
recht
rechter
rechterkant
rechthoek
redden
leven
regenboog
reiger
rekenen
remmen
rest
restaurant
rijmen
rillen
rivier
robot
roeien
rond
rondom
ronde
rondgang
rondkijken
rondlopen
rondom
rugzak
ruilen
rups
rust
rusten
slapen
saai
sappig
appel
schaal
schotel
schaduw
schamen
schattig
scheef
schelden
schilder
schminken
schrift
schuin
seizoenen
september
sieraad
sirene
sjaal
slagroom
slingeren
zwaaien
sloot
sluiten
smakelijk
smaken
smal
smullen
snoepen
snuffelen
snuiten
neus
snuiven
snurken
soepel
soldaat
sorry
spatten
speelplaats
speeltuin
spel
spijten
spinnen
draden
spinnenweb
spoelen
sport
spreken
sprookjesboek
spuit
spuiten
sputteren
staan
stad
stapel
stelen
stem
praten
stempelkussen
stevig
fors
solide
stiekem
stikken
benauwd
stinken
stofzuigen
stofzuiger
stom
vervelend
stoom
stoppen
storen
storm
stotteren
streng
struikelen
sturen
suf
suikerfeest
super
surprise
taai
tapijt
te lang
te pakken
te voorschijn
tegelijk
tegenhouden
tegenkomen
telkens
tellen
tenslotte
terechtkomen
tevreden
theepot
theezakje
thermometer
thuisblijven
thuiskomen
tijdens
tijdschrift
tikken
tikkertje
tillen
timmeren
timmerman
toevallig
toilet
totdat
touw
tovenaar
traan
trek
eetlust
trekken
treurig
trillen
trommel
trots
trouwen
trouwens
tulp
tunnel
tweeling
twintig
uiterlijk
uitgaan
vuur
uitgang
uitglijden
uithalen
uitkiezen
uitkijken
uitknippen
uitlachen
uitladen
uitnodiging
uitpraten
afronden
uitpraten
bijleggen
uitrusten
uitsteken
vaart
vaart
snelheid
vacht
vakantiereisje
van plan zijn
vanaf
vanavond
vandaan
vandoor
vanmiddag
vanmorgen
vannacht
vanochtend
vanuit
vanzelf
varkensvlees
vast
alvast
stevig
vastplakken
vastzitten
veertien
veertig
veilig
vel
huid
veld
vensterbank
ver af
verderaf
verbaasd
verband
wond
verbergen
verbieden
verdelen
verdergaan
verderop
verdienen
verdrinken
verdwalen
verfpot
vergelijken
vergissen
verkeer
verkopen
verlangen
verlegen
verliefd
verliezen
verrassen
verrukkelijk
verschillend
verschrikt
verstoppertje
vertrekken
vertrouwen
vervelen
vervoer
verwachten
verwennen
verzamelen
verzinnen
vet
vierkant
vies
smaak
vijftien
vijftig
vijver
vlakbij
vlek
vlieger
vluchten
voeren
dieren
voetstap
vol
volledig
volgen
achterna
voor
voor de gek houden
voor het eerst
vooraan
vooral
voorbeeld
voorbij
afgelopen
voorbijlopen
voordat
voordeur
voorlezen
vouw
vouwblad
vraag
vreemd
vriendin
vrij
vrijdag
vroeg
vroeger
vrucht
vuil
vuilniswagen
vuilniszak
vuist
waar
waarin
waarop
waarschijnlijk
waarvoor
wandelen
wandeling
warmte
was
wasgoed
wasbak
wasknijper
waslijn
wasmachine
wasmand
waterpokken
wc rol
wedden
wedstrijd
weegschaal
weekend
wegen
wegwezen
weiland
weinig
inhoud
welkom
welnee
wennen
wens
wensen
werken
apparaat
wiebelen
wijd
wijs
wijzer
wild
wimper
winkelen
winnaar
winnen
winterslaap
wippen
wisselen
ruilen
sport
woedend
woensdag
woensdagmiddag
woest
wol
woonomgeving
wrijven
zaad
zaaien
zaal
zacht
kracht
zaterdag
zeehond
zeerover
zeggen
zelfs
zenuwachtig
zestien
zeuren
zicht
zichzelf
zielig
zijkant
zijn best doen
zijn gang gaan
zijn mond houden
zijn zin krijgen
zin
woorden
zoals
zodat
zodra
zoek
verloren
zoemen
zoen
zoenen
zoiets
zolang
zondag
zonde
jammer
zonnebril
zonnig
zool
zoon
zorgen voor
zover
tot zover
zucht
zuiden
Zuidpool
zuigen
zulk
zuster
verpleeg
zwaaien
heen en weer
zwaailicht
zwaluw
zware stem
zweefvliegtuig
zweetdruppels
zwembad
zwembroek
zwemles
zwempak
zweven
zwijgen
achterdeur
achterin
achterlicht
achternaam
achterover
afdrogen
afgooien
aflikken
afrekenen
afscheuren
afsnijden
afspoelen
afstempelen
afvoer
afvragen
afwas
afwasborstel
allereerste
allerlaatste
ananas
anderhalf
angstig
appelboom
appeltaart
bacterie
barbecue
basisschool
behang
beleefd zijn
bellen blazen
berg
stapel
bes
beschuitje
beste
bestek
bestellen
beukennootje
bever
bibliotheek
bietjes
bij
insect
bijl
bioscoop
blaten
bloedneus
bloembol
boksen
bolhoed
bom
boodschappenlijstje
boomstam
box
brommen
broodtrommel
brullen
buis
buitendeur
buitenkomen
buitenspelen
bult
bureau
schrijftafel
burgemeester
champignon
cirkel
clownspak
club
conducteur
dal
delen
dolfijn
dooien
duif
dweilen
eergisteren
erom
everzwijn
expres
flauwekul
fietspomp
flipperkast
fluitketel
foppen
fruitschaal
gebak
geeuwen
gemak
makkelijk
gevoelens
geweer
goochelaar
goochelen
goudvis
grazen
greppel
groente
groenteman
groepje van drie
gulp
helder
helm
hengel
het hangt ervan af
heuvel
hinniken
hobbelpaard
hondenpoep
honing
hoofddoek
hoofdletter
horen
hotel
hup
hurken
hyacint
ijsschots
indianenpak
indianentooi
indoen
indrukken
inhouden
inladen
inslikken
kaart
ticket
kameleon
kampioen
kanarie
kangoeroe
kanon
kap
kapitein
karwei
kassabon
kegel
kennis
persoon
ketel
ketting
keten
kikkervis
kikvors
kinderwagen
kippenvel
kippenvlees
klapperen
klauteren
kleermakerszit
kleine letter
kletskous
klikken
klomp
kloppen
slaan
klosje
garen
knallen
knecht
kneden
klei
kniekous
knijper
knip
knippen
knoopsgat
koekoek
koel
kok
komkommer
konijnenhok
Koninginnedag
koorts
kraam
kralenplank
kudde
kunst
prestatie
landen
lantaarnpaal
lasso
later
leegdrinken
leesboek
leg
lekken
letter
lezen
licht
straling
lichtblauw
lichtgroen
lief vinden
liegen
lijn
lint
losmaken
luciferhoutje
luiaard
matroos
medaille
meebrengen
meegeven
meekomen
meerijden
meestal
meeste
meeuw
melktand
mesthoop
met grote ogen
met z’n drieën
met z’n tweeën
metrostation
metselaar
meubels
middageten
miljonair
mini
minste
mislukken
missen
ontbreken
mobieltje
molen
mop
grap
moskee
muisgrijs
museum
muzikant
nachtmerrie
nagellak
najaar
nakijken
oog
ogen
namelijk
natekenen
natuur
navel
navertellen
negende
net
visnet
neuriën
neusdruppels
neushoorn
nijlpaard
nul
nummer
oever
offerfeest
oliebol
omdoen
omgaan met elkaar
omheen
omhooghouden
omkijken
omstebeurt
omwaaien
onaardig
onderzoek
onderzoeken
ongerust
onhoorbaar
onlangs
onthouden
opblijven
ophalen
schouders
opmaken
opeten
opnemen
opnoemen
oprollen
opschuiven
optocht
optreden
opvreten
opwinden
opzetten
tent
overmorgen
overnieuw
overtekenen
overtrekken
paleis
paprika
pauze
per
per bus
per ongeluk
perenboom
pianospelen
pijp roken
pikken
pin
pinnen
piraat
pitten
fornuis
plan
plat dak
pluim
pluis
podium
postzegel
prikbord
prikkeldraad
pruik
pudding
puffen
puntdak
raad
advies
ramadan
rammen
rapen
ravijn
razen
rechtop
reep
regel
regelen
regenbui
regenlaarzen
regenpijp
regenwater
reisbureau
rek
riet
plant
rijgen
rinkelen
rit
ritselen
rol
roltrap
roos
rots
rottig
rotzooi
ruit
rukken
scharrelen
schateren
schatrijk
schatten
schild
schipper
schok
beweging
schoolbord
schooldokter
schoolkrant
schoolplein
schoolreisje
schrijven
schrokken
schutting
seconde
servies
shirt
sip
sissen
ski
skiën
slagtand
slakkenhuis
sleutelgat
sleutelhanger
slurf
smak
smakken
smeken
snackbar
sneeuwballen gooien
sneeuwvlok
snikken
snorhaar
spellen
staren
steeg
steil
stekel
steken
prikken
stijf
stijgen
stinkdier
stoeien
stoelpoot
stof
kleding
storten
gooien
straal
straf
streek
strijken
strikken
stripboek
strippenkaart
stro
struik
stuiven
suikerklontje
suikerpot
tachtig
tandarts
tegel
tegenaan
tegenover
tekenfilm
tel
tennis
terugleggen
titel
tocht
toe
komaan
toetje
toiletpapier
toilettas
toneel spelen
trakteren
trampoline
trapleuning
trappen
trapper
trippelen
troebel
trompet
